cryptoPair,copyPopularity,roi,pnl,runningTime,direction
1000LUNCBUSD Perpetual,0,108.71%,1087.11,13d 14h 4m,13d 14h 4m
DUSKUSDT Perpetual,0,108.46%,271.17,28d 18h 26m,28d 18h 26m
DOTUSDT Perpetual,0,108.27%,79.96,27d 17h 10m,27d 17h 10m
ETHUSDT Perpetual,0,108.14%,9.73,18d 8h 46m,18d 8h 46m
XTZUSDT Perpetual,0,108.13%,15.44,14d 18h,14d 18h
ICPBUSD Perpetual,0,107.93%,1349.14,32d 10h 29m,32d 10h 29m
ADABUSD Perpetual,1,106.97%,320.94,35d 1h 22m,35d 1h 22m
ANTUSDT Perpetual,0,106.50%,7.46,26d 7h 9m,26d 7h 9m
APEBUSD Perpetual,0,105.90%,10.59,19d 15h 42m,19d 15h 42m
DOTBUSD Perpetual,0,105.61%,316.86,34d 2h 30m,34d 2h 30m
PEOPLEUSDT Perpetual,0,105.13%,21.03,21d 3h 41m,21d 3h 41m
UNFIUSDT Perpetual,0,105.12%,210.25,26d 1h 50m,26d 1h 50m
BTCUSDT Perpetual,0,104.82%,157.23,12d 9h 48m,12d 9h 48m
SKLUSDT Perpetual,0,104.71%,36.65,28d 23h 25m,28d 23h 25m
ALGOUSDT Perpetual,1,103.87%,67.52,31d 7h 52m,31d 7h 52m
BTCUSDT Perpetual,0,102.96%,102.97,23d 12h 54m,23d 12h 54m
BTCUSDT Perpetual,1,102.63%,10.92,18d 16h 10m,18d 16h 10m
XMRUSDT Perpetual,0,102.40%,149.51,119d 6h 55m,119d 6h 55m
BTCUSDT Perpetual,2,102.08%,1225.03,27d 10h 25m,27d 10h 25m
ETCUSDT Perpetual,0,101.78%,149.63,119d 6h 54m,119d 6h 54m
GALAUSDT Perpetual,0,101.60%,4.46,17d 6h 5m,17d 6h 5m
1000LUNCBUSD Perpetual,0,101.44%,48.44,12d 16h 49m,12d 16h 49m
BTCBUSD Perpetual,0,101.40%,216.00,27d 12h 9m,27d 12h 9m
HNTUSDT Perpetual,0,101.28%,40.51,44d 3h 54m,44d 3h 54m
1000SHIBUSDT Perpetual,0,100.45%,10.12,20d 20h 51m,20d 20h 51m
1000SHIBUSDT Perpetual,0,100.38%,10.47,43d 3h 33m,43d 3h 33m
DOGEBUSD Perpetual,0,100.35%,14.54,171d 3h 3m,171d 3h 3m
SANDUSDT Perpetual,0,100.07%,500.36,29d 17h 40m,29d 17h 40m
GTCUSDT Perpetual,0,99.85%,698.97,45d 13h 52m,45d 13h 52m
ALICEUSDT Perpetual,0,99.76%,498.84,61d 8h,61d 8h
BTCUSDT Perpetual,0,99.75%,5.99,8d 12h 59m,8d 12h 59m
BTCUSDT Perpetual,0,99.70%,4.99,14d 16h 14m,14d 16h 14m
EOSUSDT Perpetual,0,99.69%,14.95,29d 11h 19m,29d 11h 19m
COMPUSDT Perpetual,0,98.61%,106.10,21d 9h 44m,21d 9h 44m
ADAUSDT Perpetual,0,98.29%,6.96,12d 4h 14m,12d 4h 14m
NEOUSDT Perpetual,0,98.23%,1227.91,62d 3h 53m,62d 3h 53m
BTCBUSD Perpetual,0,97.92%,141.02,25d 6h 55m,25d 6h 55m
AXSUSDT Perpetual,0,97.41%,3020.01,38d 13h 48m,38d 13h 48m
PEOPLEUSDT Perpetual,0,97.32%,70.07,21d 17h 52m,21d 17h 52m
ETHUSDT Perpetual,0,96.93%,45.17,29d 20m,29d 20m
NKNUSDT Perpetual,0,96.86%,23.25,44d 9h 24m,44d 9h 24m
CVCUSDT Perpetual,0,96.69%,14.50,137d 5h 24m,137d 5h 24m
LTCUSDT Perpetual,0,96.32%,1.69,29d 8h 22m,29d 8h 22m
SOLBUSD Perpetual,0,96.10%,1922.11,32d 4h 18m,32d 4h 18m
ADABUSD Perpetual,0,95.35%,16.21,59d 12h 31m,59d 12h 31m
XRPUSDT Perpetual,0,95.25%,47.63,11d 21h 29m,11d 21h 29m
1000LUNCBUSD Perpetual,0,95.11%,951.13,15d 8h 22m,15d 8h 22m
WAVESUSDT Perpetual,0,94.92%,237.32,1y 67d 15h 17m,1y 67d 15h 17m
NEARBUSD Perpetual,0,94.79%,14.31,27d 10h 56m,27d 10h 56m
LTCUSDT Perpetual,0,94.18%,941.83,226d 6h 33m,226d 6h 33m
NEOUSDT Perpetual,0,93.35%,233.39,28d 19h 28m,28d 19h 28m
ADAUSDT Perpetual,0,93.31%,5.60,11d 15h 42m,11d 15h 42m
CRVUSDT Perpetual,0,92.65%,10.27,7d 5h 18m,7d 5h 18m
BTCUSDT Perpetual,0,92.37%,13.86,14d 13h 35m,14d 13h 35m
ATOMUSDT Perpetual,0,92.37%,430.88,27d 2h 44m,27d 2h 44m
MTLUSDT Perpetual,0,92.32%,58.16,26d 22h 26m,26d 22h 26m
LTCUSDT Perpetual,0,92.24%,54.42,30d 7h 55m,30d 7h 55m
1000LUNCBUSD Perpetual,0,92.07%,276.23,7d 7h 28m,7d 7h 28m
BTCUSDT Perpetual,0,91.52%,19.82,231d 13h 1m,231d 13h 1m
NEARUSDT Perpetual,0,91.49%,52.15,27d 13h 15m,27d 13h 15m
SOLBUSD Perpetual,0,91.48%,4574.03,28d 3h 11m,28d 3h 11m
ADAUSDT Perpetual,0,91.44%,84.82,55d 25m,55d 25m
BTCUSDT Perpetual,0,91.26%,45.63,23d 23h 50m,23d 23h 50m
SUSHIUSDT Perpetual,0,90.95%,2.53,252d 22h 50m,252d 22h 50m
GALAUSDT Perpetual,0,90.79%,312.74,29d 12h 55m,29d 12h 55m
LUNA2BUSD Perpetual,0,90.46%,327.95,25d 2h 5m,25d 2h 5m
LUNA2BUSD Perpetual,0,90.34%,99.38,22d 14h 5m,22d 14h 5m
1000SHIBUSDT Perpetual,0,90.18%,45.09,20d 17h 57m,20d 17h 57m
BTCUSDT Perpetual,0,90.08%,18.71,22d 5h 12m,22d 5h 12m
MANAUSDT Perpetual,0,90.05%,24.28,59d 5h 55m,59d 5h 55m
XRPUSDT Perpetual,0,89.68%,4.82,10d 4h 51m,10d 4h 51m
ETHUSDT Perpetual,0,89.52%,226.73,21d 12h 15m,21d 12h 15m
MATICUSDT Perpetual,1,89.03%,44.52,1d 1h 50m,1d 1h 50m
FILUSDT Perpetual,0,88.72%,3327.35,38d 5h 36m,38d 5h 36m
MANAUSDT Perpetual,0,88.51%,70.81,26d 9h 49m,26d 9h 49m
BELUSDT Perpetual,0,88.32%,565.26,38d 22h 39m,38d 22h 39m
ADAUSDT Perpetual,0,88.15%,22.04,12d 21h 22m,12d 21h 22m
BNBUSDT Perpetual,0,88.06%,484.37,166d 9h 18m,166d 9h 18m
LTCUSDT Perpetual,0,87.87%,50.35,62d 7h 51m,62d 7h 51m
DOGEUSDT Perpetual,0,87.66%,43.83,27d 19h 57m,27d 19h 57m
ETHUSDT Perpetual,0,87.53%,1750.68,166d 8h 59m,166d 8h 59m
1000SHIBUSDT Perpetual,0,87.52%,88.49,21d 2h 57m,21d 2h 57m
ETHUSDT Perpetual,0,87.34%,13.03,27d 17h 45m,27d 17h 45m
BTCBUSD Perpetual,0,87.14%,191.89,208d 19h 32m,208d 19h 32m
