cryptoPair,copyPopularity,roi,pnl,runningTime,direction
ADABUSD Perpetual,0,91.71%,18.34,27d 9h 2m,27d 9h 2m
BTCUSDT Perpetual,0,91.52%,19.82,229d 20h 1m,229d 20h 1m
GMTUSDT Perpetual,0,91.42%,66.74,49d 21h 49m,49d 21h 49m
SUSHIUSDT Perpetual,0,90.95%,2.53,251d 5h 50m,251d 5h 50m
CHRUSDT Perpetual,0,90.70%,453.51,59d 9h 7m,59d 9h 7m
ADABUSD Perpetual,0,90.65%,81.53,56d 1h 3m,56d 1h 3m
XTZUSDT Perpetual,0,90.16%,12.88,13d 1h,13d 1h
CRVUSDT Perpetual,0,90.04%,84.53,59d 6h 59m,59d 6h 59m
DOTBUSD Perpetual,0,89.86%,7.19,21d 4h 54m,21d 4h 54m
VETUSDT Perpetual,0,89.82%,4.89,27d 8h 51m,27d 8h 51m
EOSUSDT Perpetual,0,89.67%,89.68,28d 12h 55m,28d 12h 55m
BTCUSDT Perpetual,0,89.05%,1157.70,22d 16h 51m,22d 16h 51m
1000LUNCBUSD Perpetual,0,88.99%,889.96,11d 21h 4m,11d 21h 4m
NKNUSDT Perpetual,0,88.94%,21.35,42d 16h 24m,42d 16h 24m
YFIUSDT Perpetual,0,88.72%,13.31,15d 23h 15m,15d 23h 15m
1INCHUSDT Perpetual,0,88.68%,44.58,20d 13h 27m,20d 13h 27m
1000SHIBUSDT Perpetual,0,88.51%,177.02,18d 44m,18d 44m
MATICUSDT Perpetual,0,88.35%,220.89,12d 17h 38m,12d 17h 38m
BTCUSDT Perpetual,0,88.35%,1236.96,22d 17h 2m,22d 17h 2m
EOSUSDT Perpetual,0,88.21%,13.23,27d 18h 19m,27d 18h 19m
WAVESUSDT Perpetual,1,87.83%,878.37,222d 4h 54m,222d 4h 54m
XRPUSDT Perpetual,0,87.80%,43.90,10d 4h 29m,10d 4h 29m
MANAUSDT Perpetual,0,87.77%,70.22,24d 16h 49m,24d 16h 49m
DEFIUSDT Perpetual,0,87.61%,8.83,20d 19h 19m,20d 19h 19m
1000LUNCBUSD Perpetual,0,87.47%,357.32,7d 41m,7d 41m
1000LUNCBUSD Perpetual,0,87.43%,1092.94,13d 14h 37m,13d 14h 37m
BTCBUSD Perpetual,0,87.14%,191.89,207d 2h 32m,207d 2h 32m
FILUSDT Perpetual,0,87.00%,3262.68,36d 12h 37m,36d 12h 37m
BTCUSDT Perpetual,0,86.99%,73.16,4d 10h 40m,4d 10h 40m
BNBUSDT Perpetual,0,86.52%,475.88,164d 16h 18m,164d 16h 18m
GALUSDT Perpetual,0,86.38%,129.57,11d 14h 29m,11d 14h 29m
ETHUSDT Perpetual,0,86.30%,923.48,22d 16h 49m,22d 16h 49m
IMXUSDT Perpetual,0,86.13%,1076.63,42d 6h 15m,42d 6h 15m
BELUSDT Perpetual,0,85.92%,549.89,37d 5h 39m,37d 5h 39m
FLMUSDT Perpetual,0,85.88%,1030.60,28d 15h 15m,28d 15h 15m
ETHUSDT Perpetual,0,85.69%,1156.86,22d 16h 58m,22d 16h 58m
ADAUSDT Perpetual,0,85.39%,406.05,12d 23h 28m,12d 23h 28m
LUNA2BUSD Perpetual,0,85.38%,93.92,20d 21h 5m,20d 21h 5m
ETHUSDT Perpetual,0,85.32%,1706.50,164d 15h 59m,164d 15h 59m
FLMUSDT Perpetual,0,85.32%,170.64,27d 5h 12m,27d 5h 12m
ETCUSDT Perpetual,0,85.27%,25.58,56d 22h 31m,56d 22h 31m
SOLBUSD Perpetual,0,84.57%,1691.53,30d 11h 18m,30d 11h 18m
NEARUSDT Perpetual,0,84.51%,48.17,25d 20h 15m,25d 20h 15m
KAVAUSDT Perpetual,0,84.03%,210.09,1y 65d 6m,1y 65d 6m
ETHUSDT Perpetual,0,83.94%,83.95,18d 17h 23m,18d 17h 23m
MTLUSDT Perpetual,0,83.39%,52.54,25d 5h 26m,25d 5h 26m
LINKUSDT Perpetual,0,83.25%,416.30,63d 1h 30m,63d 1h 30m
BNBUSDT Perpetual,0,83.22%,83.23,17d 19h 56m,17d 19h 56m
APEBUSD Perpetual,0,82.87%,9.62,9d 9h 4m,9d 9h 4m
IMXUSDT Perpetual,0,82.81%,66.26,50d 2h 38m,50d 2h 38m
AAVEUSDT Perpetual,0,82.79%,10349.53,1y 41d 15h 28m,1y 41d 15h 28m
ETHUSDT Perpetual,0,82.54%,1209.29,22d 8h 18m,22d 8h 18m
DYDXUSDT Perpetual,1,82.54%,33.02,5d 22h 48m,5d 22h 48m
CELRUSDT Perpetual,0,82.51%,123.77,9d 18h 47m,9d 18h 47m
ROSEUSDT Perpetual,0,82.44%,41.22,26d 22h 32m,26d 22h 32m
STORJUSDT Perpetual,0,82.43%,18.14,21d 22h 8m,21d 22h 8m
BELUSDT Perpetual,0,82.14%,82.14,12d 23h 18m,12d 23h 18m
GALUSDT Perpetual,0,82.10%,1026.32,44d 1h 22m,44d 1h 22m
GMTUSDT Perpetual,0,81.95%,12.11,5d 12h 54m,5d 12h 54m
