cryptoPair,copyPopularity,roi,pnl,runningTime
UNI/USDT,0,27.86%,41.13,42d 8h 27m
ETH/BUSD,0,27.79%,49.83,37d 2h 15m
RARE/BTC,0,27.71%,149.32,21d 11h 30m
QI/BTC,1,27.68%,693.05,25d 7h 2m
PORTO/USDT,0,27.62%,57.79,73d 15h 30m
ANC/BUSD,2,27.60%,25.90,59d 6h 42m
ADA/USDT,7,27.56%,24.59,69d 19h 46m
AAVE/BUSD,0,27.50%,73.98,38d 20h 25m
ADA/BUSD,26,27.44%,26.37,69d 10h 26m
SOL/ETH,2,27.42%,167.22,46d 10h 47m
SHIB/DOGE,0,27.36%,27.75,171d 3h 33m
SHIB/DOGE,0,27.36%,36.63,171d 20h 9m
GMT/BTC,1,27.17%,19.12,62d 15h 59m
ANT/USDT,0,27.15%,50.24,64d 15h 56m
ETH/USDT,0,27.13%,42.78,7d 9h 57m
ETH/USDT,0,27.12%,323.66,33d 15h 43m
ETH/USDT,3,27.02%,20.80,35d 12h 19m
MATIC/BTC,0,26.88%,174.35,81d 4h 32m
IMX/BUSD,0,26.80%,48.26,40d 21h 11m
OOKI/USDT,0,26.62%,31.05,48d 15h 51m
RUNE/USDT,0,26.58%,478.41,27d 14h 51m
ADA/BTC,0,26.57%,148.60,78d 6h 44m
ETH/BUSD,0,26.48%,52.35,32d 13h 47m
GMT/BUSD,0,26.44%,35.65,39d 18h 19m
SOL/BUSD,1,26.41%,114.48,48d 23h 55m
DYDX/BUSD,0,26.35%,64.82,55d 13h 2m
MATIC/BUSD,6,26.35%,23.68,7d 4h 26m
ETH/USDT,0,26.28%,236.31,34d 15h 16m
DOGE/BTC,3,26.22%,15.25,114d 12h 18m
PAXG/BTC,1,26.15%,340.11,69d 3h 9m
TROY/USDT,0,26.11%,105.71,64d 16h 53m
ETH/BUSD,0,25.99%,981.36,34d 13h 55m
ASR/USDT,0,25.97%,262.96,41d 16h 26m
AVAX/BTC,0,25.94%,57.04,31d 1h 12m
SOL/BUSD,0,25.92%,118.19,47d 13h 4m
NEAR/USDT,3,25.84%,57.89,31d 12h 27m
GMT/BUSD,0,25.84%,30.78,28d 19h 24m
GMT/BUSD,0,25.82%,11.61,31d 6h 5m
AVAX/BUSD,2,25.80%,71.54,14d 16h 56m
GMT/BUSD,0,25.69%,15.62,30d 9h 56m
FARM/USDT,0,25.64%,523.91,67d 12h 16m
GMT/USDT,0,25.60%,42.96,54d 3h 16m
APE/USDT,1,25.50%,269.46,70d 19h 17m
SHIB/BUSD,0,25.47%,99.32,69d 14h 32m
ADA/BTC,0,25.47%,32.44,78d 14h 49m
SHIB/DOGE,0,25.43%,11.80,70d 3h 36m
FORTH/USDT,0,25.40%,15257.59,65d 2h 28m
SHIB/BUSD,0,25.38%,33.24,63d 1h 41m
GMT/BUSD,0,25.37%,11.53,28d 6h 21m
MATIC/USDT,0,25.30%,114.93,67d 23h 12m
ATM/USDT,0,25.29%,19504.58,8d 22h 41m
UNI/BUSD,1,25.29%,121.39,18d 21h 53m
RARE/BTC,0,25.26%,63.33,57d 7h 45m
ADA/BTC,1,25.25%,520.25,69d 18h 13m
SAND/USDT,1,25.25%,110.51,68d 8h 19m
SHIB/DOGE,0,25.24%,8.48,195d 7h 55m
SHIB/DOGE,0,25.23%,15.58,61d 12h 53m
GMT/BUSD,0,25.21%,573.71,82d 12h 8m
GMT/BUSD,1,25.17%,22.65,28d 9h 55m
ADA/BTC,1,25.05%,112.51,82d 18h 27m
ADA/BUSD,2,24.99%,149.56,55d 7h 29m
AAVE/BTC,0,24.88%,66.27,64d 8h 49m
ANC/BUSD,0,24.87%,224.62,31d 10h 15m
ARDR/USDT,0,24.79%,66.97,37d 9h 3m
UMA/BTC,0,24.79%,312.03,35d 19h 38m
ETH/BUSD,0,24.75%,980.60,31d 8h 29m
AAVE/ETH,0,24.75%,117.83,58d 4h 50m
LOKA/USDT,0,24.73%,66.77,26d 16h 4m
JOE/BUSD,0,24.66%,684.65,6d 4h 42m
HIGH/BUSD,0,24.66%,62.11,21d 5m
UNI/USDT,0,24.65%,110.90,51d 3h 54m
IMX/BUSD,0,24.62%,176.69,46d 12h 51m
COCOS/USDT,0,24.59%,218.22,42d 15h 1m
TRX/BTC,0,24.55%,24.99,75d 17h 16m
SHIB/USDT,2,24.49%,32.70,46d 21h 6m
KEY/ETH,0,24.47%,129.14,39d 19h 9m
PEOPLE/USDT,0,24.38%,52.72,34d 16h 23m
SHIB/DOGE,2,24.36%,7.88,103d 19h 50m
AVAX/ETH,0,24.35%,220.58,56d 11h
MATIC/BUSD,0,24.31%,227.91,63d 17h 31m
ATOM/BTC,0,24.28%,74.34,54d 14h 19m
FARM/BTC,2,24.27%,31.33,21d 2h 46m
ETH/USDT,1,24.15%,21.70,36d 16h 4m
QUICK/BUSD,0,24.04%,107.10,5d 23h 32m
AVAX/USDT,2,24.03%,30.78,14d 12h 33m
UMA/BUSD,0,23.97%,64.26,30d 19h 32m
SHIB/DOGE,0,23.96%,44.15,85d 10h 27m
ARPA/USDT,2,23.82%,15.02,49d 14h 55m
BNB/BUSD,8,23.80%,1717.11,32d 15h 21m
ACA/USDT,0,23.73%,40.23,23d 17h 2m
ETH/USDT,0,23.72%,1104.87,32d 13h 17m
TRX/BTC,1,23.72%,489.34,67d 14h 39m
ETH/USDT,0,23.71%,195.37,37d 15h 27m
MATIC/USDT,0,23.70%,47.99,39d 19h
KEY/USDT,0,23.69%,21.33,39d 11h 22m
TRX/BTC,0,23.62%,62.31,79d 21h 14m
AAVE/BUSD,0,23.61%,33.17,30d 10h 9m
KP3R/USDT,0,23.61%,83.66,62d 16h 4m
SHIB/DOGE,0,23.43%,47.19,39d 15h 19m
IMX/USDT,0,23.39%,210.44,49d 11h 5m
XMR/BTC,0,23.37%,144.14,63d 18h 39m
BEL/BNB,0,23.35%,45.37,52d 13h 33m
SOL/USDT,2,23.34%,20.99,38d 16h
ATOM/BTC,0,23.32%,83.13,34d 10h 46m
ETH/BUSD,0,23.26%,418.57,9d 6h 21m
SOL/BUSD,0,23.23%,910.39,46d 20h 8m
APE/BTC,0,23.23%,74.86,72d 12h 57m
BNB/ETH,2,23.17%,194.87,191d 11h 20m
BTC/USDT,41,23.16%,486.48,32d 10h 51m
ICP/USDT,0,23.15%,83.27,38d 12h 24m
XRP/BTC,1,23.15%,23.54,166d 13h 49m
SOL/USDT,0,23.10%,85.49,48d 19h 40m
LAZIO/BUSD,0,23.09%,27.59,55d 10h 35m
ETH/USDT,0,23.08%,149.22,9d 21h 42m
FARM/USDT,0,23.08%,216.39,42d 21h 23m
ETH/USDT,0,23.06%,828.99,6d 15h 45m
AVAX/USDT,0,22.97%,61.25,29d 12h 27m
OOKI/BUSD,0,22.97%,17.68,15d 18h 50m
SOL/USDT,0,22.96%,119.49,42d 16h 59m
PEOPLE/USDT,0,22.94%,41.31,34d 2h 23m
MDT/BTC,0,22.93%,10.98,71d 16h 22m
INJ/BUSD,0,22.90%,25.00,19d 12h 49m
ENS/BTC,0,22.81%,60.32,80d 23h 56m
DENT/USDT,0,22.65%,207.86,20d 16h 22m
ETH/USDT,0,22.64%,152.07,9d 16h 51m
GMT/BUSD,0,22.63%,14.15,43d 16h 9m
ENS/BTC,0,22.55%,84.60,81d 4h 28m
SHIB/DOGE,0,22.52%,14.83,68d 6h
GMT/BUSD,0,22.50%,53.69,27d 19h 17m
BNX/BUSD,0,22.48%,50.21,68d 26m
BNX/USDT,0,22.45%,82.34,62d 30m
GMT/BUSD,0,22.39%,7.69,29d 6h 18m
MATIC/USDT,0,22.39%,116.89,70d 11h 35m
ETH/USDT,0,22.36%,63.51,34d 16h 2m
TCT/BTC,0,22.30%,8.32,57d 13h 44m
ETH/USDT,0,22.29%,800.01,36d 20h 47m
SHIB/USDT,0,22.19%,102.42,60d 10h 26m
ETH/BUSD,0,22.08%,135.19,29d 15h 45m
DOGE/USDT,3,22.00%,17.22,32d 6h 26m
DEGO/BUSD,0,21.97%,140.90,5d 21h 47m
SOL/BUSD,0,21.94%,160.23,35d 11h 13m
ETH/BUSD,0,21.89%,707.03,37d 16h 33m
ADA/BTC,0,21.84%,77.82,142d 13h 13m
MBL/BUSD,0,21.81%,9.83,9d 13h 25m
SHIB/BUSD,0,21.80%,78.50,57d 4h 18m
MATIC/BUSD,0,21.79%,60.28,37d 21h 45m
GMT/BUSD,1,21.77%,9.93,27d 10h 31m
FIL/BUSD,1,21.77%,2459.73,39d 2h 51m
APE/USDT,1,21.76%,78.35,30d 13h 18m
APE/BUSD,0,21.75%,43.02,25d 6h 28m
SOL/BUSD,0,21.73%,30.64,43d 7h 15m
SHIB/DOGE,0,21.73%,33.54,58d 5h 27m
ROSE/BTC,0,21.73%,70.72,61d 21h 34m
SHIB/USDT,0,21.71%,82.94,20d 22h 31m
ANC/BUSD,0,21.66%,95.29,40d 22h 29m
MIR/USDT,0,21.66%,43.76,23d 8h 53m
DYDX/USDT,0,21.64%,33.41,50d 1h 41m
ANT/USDT,0,21.64%,97.51,61d 14h 56m
MATIC/BTC,0,21.62%,132.13,26d 16h 33m
SOL/USDT,0,21.60%,67.89,36d 8h 45m
GMT/BUSD,0,21.58%,96.75,48d 22h 9m
SHIB/DOGE,0,21.53%,2188.02,65d 12h 30m
SHIB/USDT,0,21.52%,49.61,69d 17h 41m
SHIB/BUSD,0,21.49%,69.64,62d 22h 23m
FTM/BUSD,0,21.42%,92.80,29d 23h 25m
DOT/BTC,2,21.41%,14.40,70d 15h 51m
SOL/USDT,0,21.39%,182.89,48d 11h 11m
MATIC/ETH,0,21.34%,58.39,22d 12h 59m
GMT/USDT,0,21.30%,39.54,54d 4h 12m
RARE/USDT,1,21.29%,707.16,22d 3h 37m
ASR/USDT,0,21.29%,78.87,36d 2h 40m
SAND/USDT,0,21.26%,58.61,64d 23h 1m
ETH/USDT,0,21.24%,13.49,35d 6h 3m
ETH/BUSD,0,21.23%,237.16,37d 10h 50m
GMT/BUSD,0,21.20%,306.45,37d 20h 31m
BNB/ETH,0,21.16%,217.22,160d 4h 29m
SOL/BTC,0,21.16%,14.53,67d 11h 35m
LINA/BTC,0,21.16%,21.34,49d 14h 11m
XMR/BTC,0,21.13%,41.59,63d 21h 28m
GMT/BUSD,0,21.12%,9.75,30d 15h 31m
AVAX/BNB,1,21.12%,228.32,55d 1h 1m
THETA/BUSD,0,21.11%,37.84,37d 8h 34m
XMR/BUSD,0,21.05%,94.78,36d 15h 34m
GALA/BUSD,1,21.02%,54.52,38d 18h 55m
SHIB/BUSD,0,20.97%,24.51,45d 7h 29m
